ano,rede,ensino,anos_escolares,taxa_aprovacao,ideb
2005,privada,medio,todos (1-4),92.7,5.6
2005,estadual,medio,todos (1-4),70.5,3.0
2005,total,medio,todos (1-4),73.2,3.4
2005,publica,medio,todos (1-4),70.6,3.1
2005,total,fundamental,finais (6-9),77.0,3.5
2005,municipal,fundamental,finais (6-9),73.2,3.1
2005,publica,fundamental,finais (6-9),75.0,3.2
2005,privada,fundamental,finais (6-9),94.5,5.8
2005,estadual,fundamental,finais (6-9),76.3,3.3
2005,municipal,fundamental,iniciais (1-5),78.1,3.4
2005,estadual,fundamental,iniciais (1-5),85.5,3.9
2005,publica,fundamental,iniciais (1-5),80.0,3.6
2005,privada,fundamental,iniciais (1-5),97.1,5.9
2005,total,fundamental,iniciais (1-5),81.6,3.8
2007,privada,medio,todos (1-4),93.8,5.6
2007,total,medio,todos (1-4),74.1,3.5
2007,publica,medio,todos (1-4),71.8,3.2
2007,estadual,medio,todos (1-4),71.6,3.2
2007,estadual,fundamental,finais (6-9),78.7,3.6
2007,publica,fundamental,finais (6-9),78.2,3.5
2007,total,fundamental,finais (6-9),79.8,3.8
2007,privada,fundamental,finais (6-9),95.1,5.8
2007,municipal,fundamental,finais (6-9),77.6,3.4
2007,municipal,fundamental,iniciais (1-5),83.5,4.0
2007,total,fundamental,iniciais (1-5),85.8,4.2
2007,publica,fundamental,iniciais (1-5),84.6,4.0
2007,estadual,fundamental,iniciais (1-5),88.0,4.3
2007,privada,fundamental,iniciais (1-5),97.4,6.0
2009,total,medio,todos (1-4),75.9,3.6
2009,estadual,medio,todos (1-4),73.5,3.4
2009,publica,medio,todos (1-4),73.7,3.4
2009,privada,medio,todos (1-4),93.3,5.6
2009,estadual,fundamental,finais (6-9),80.5,3.8
2009,privada,fundamental,finais (6-9),94.6,5.9
2009,total,fundamental,finais (6-9),81.3,4.0
2009,publica,fundamental,finais (6-9),79.7,3.7
2009,municipal,fundamental,finais (6-9),78.6,3.6
2009,publica,fundamental,iniciais (1-5),87.3,4.4
2009,estadual,fundamental,iniciais (1-5),91.1,4.9
2009,privada,fundamental,iniciais (1-5),97.6,6.4
2009,total,fundamental,iniciais (1-5),88.5,4.6
2009,municipal,fundamental,iniciais (1-5),86.2,4.4
2011,publica,medio,todos (1-4),75.2,3.4
2011,estadual,medio,todos (1-4),75.0,3.4
2011,privada,medio,todos (1-4),93.4,5.7
2011,total,medio,todos (1-4),77.4,3.7
2011,privada,fundamental,finais (6-9),94.5,6.0
2011,publica,fundamental,finais (6-9),81.8,3.9
2011,estadual,fundamental,finais (6-9),82.3,3.9
2011,municipal,fundamental,finais (6-9),81.1,3.8
2011,total,fundamental,finais (6-9),83.4,4.1
2011,publica,fundamental,iniciais (1-5),90.2,4.7
2011,privada,fundamental,iniciais (1-5),97.7,6.5
2011,municipal,fundamental,iniciais (1-5),89.4,4.7
2011,total,fundamental,iniciais (1-5),91.2,5.0
2011,estadual,fundamental,iniciais (1-5),93.1,5.1
2013,total,medio,todos (1-4),80.1,3.7
2013,estadual,medio,todos (1-4),78.0,3.4
2013,publica,medio,todos (1-4),78.1,3.4
2013,privada,medio,todos (1-4),93.8,5.4
2013,total,fundamental,finais (6-9),85.1,4.2
2013,estadual,fundamental,finais (6-9),85.1,4.0
2013,publica,fundamental,finais (6-9),83.7,4.0
2013,privada,fundamental,finais (6-9),94.6,5.9
2013,municipal,fundamental,finais (6-9),82.0,3.8
2013,estadual,fundamental,iniciais (1-5),94.7,5.4
2013,publica,fundamental,iniciais (1-5),91.8,4.9
2013,municipal,fundamental,iniciais (1-5),91.1,4.9
2013,total,fundamental,iniciais (1-5),92.7,5.2
2013,privada,fundamental,iniciais (1-5),97.8,6.7
2015,publica,medio,todos (1-4),79.8,3.5
2015,estadual,medio,todos (1-4),79.7,3.5
2015,total,medio,todos (1-4),81.7,3.7
2015,privada,medio,todos (1-4),94.5,5.3
2015,estadual,fundamental,finais (6-9),85.3,4.2
2015,privada,fundamental,finais (6-9),95.3,6.1
2015,publica,fundamental,finais (6-9),84.1,4.2
2015,municipal,fundamental,finais (6-9),82.8,4.1
2015,total,fundamental,finais (6-9),85.7,4.5
2015,privada,fundamental,iniciais (1-5),98.1,6.8
2015,publica,fundamental,iniciais (1-5),92.2,5.3
2015,municipal,fundamental,iniciais (1-5),91.6,5.3
2015,total,fundamental,iniciais (1-5),93.2,5.5
2015,estadual,fundamental,iniciais (1-5),94.8,5.8
2017,estadual,medio,todos (1-4),81.2,3.5
2017,privada,medio,todos (1-4),95.7,5.8
2017,publica,medio,todos (1-4),81.4,3.5
2017,total,medio,todos (1-4),83.1,3.8
2017,municipal,fundamental,finais (6-9),84.2,4.3
2017,privada,fundamental,finais (6-9),96.5,6.4
2017,estadual,fundamental,finais (6-9),86.8,4.5
2017,publica,fundamental,finais (6-9),85.5,4.4
2017,total,fundamental,finais (6-9),87.1,4.7
2017,municipal,fundamental,iniciais (1-5),92.5,5.6
2017,privada,fundamental,iniciais (1-5),98.6,7.1
2017,estadual,fundamental,iniciais (1-5),95.6,6.0
2017,publica,fundamental,iniciais (1-5),93.0,5.5
2017,total,fundamental,iniciais (1-5),94.0,5.8
2019,total,medio,todos (1-4),86.1,4.2
2019,publica,medio,todos (1-4),84.7,3.9
2019,privada,medio,todos (1-4),96.4,6.0
2019,estadual,medio,todos (1-4),84.5,3.9
2019,publica,fundamental,finais (6-9),88.6,4.6
2019,total,fundamental,finais (6-9),89.9,4.9
2019,estadual,fundamental,finais (6-9),90.0,4.7
2019,privada,fundamental,finais (6-9),97.1,6.4
2019,municipal,fundamental,finais (6-9),87.3,4.5
2019,total,fundamental,iniciais (1-5),95.1,5.9
2019,municipal,fundamental,iniciais (1-5),93.9,5.7
2019,publica,fundamental,iniciais (1-5),94.3,5.7
2019,estadual,fundamental,iniciais (1-5),96.3,6.1
2019,privada,fundamental,iniciais (1-5),98.8,7.1
2021,estadual,medio,todos (1-4),89.8,3.9
2021,privada,medio,todos (1-4),98.5,5.6
2021,total,medio,todos (1-4),90.8,4.2
2021,publica,medio,todos (1-4),89.8,3.9
2021,estadual,fundamental,finais (6-9),95.8,5.0
2021,total,fundamental,finais (6-9),95.7,5.1
2021,municipal,fundamental,finais (6-9),94.7,4.8
2021,publica,fundamental,finais (6-9),95.2,4.9
2021,privada,fundamental,finais (6-9),98.6,6.3
2021,estadual,fundamental,iniciais (1-5),97.8,5.9
2021,municipal,fundamental,iniciais (1-5),97.2,5.5
2021,publica,fundamental,iniciais (1-5),97.3,5.5
2021,total,fundamental,iniciais (1-5),97.6,5.8
2021,privada,fundamental,iniciais (1-5),99.1,7.0
2023,privada,medio,todos (1-4),97.1,5.6
2023,estadual,medio,todos (1-4),90.5,4.1
2023,total,medio,todos (1-4),91.3,4.3
2023,publica,medio,todos (1-4),90.5,4.1
2023,publica,fundamental,finais (6-9),93.2,4.7
2023,municipal,fundamental,finais (6-9),91.8,4.6
2023,total,fundamental,finais (6-9),94.0,5.0
2023,privada,fundamental,finais (6-9),98.4,6.3
2023,estadual,fundamental,finais (6-9),94.7,4.9
2023,publica,fundamental,iniciais (1-5),96.8,5.7
2023,municipal,fundamental,iniciais (1-5),96.6,5.8
2023,privada,fundamental,iniciais (1-5),99.3,7.2
2023,estadual,fundamental,iniciais (1-5),97.5,6.0
2023,total,fundamental,iniciais (1-5),97.2,6.0
